product_id,product_name,unit_price
P001,スノーテック CRYSTALVIEW KJ-55X9500G,150000
P002,フジヤマ電機 VISIONMAX TH-55FX700M,120000
P003,サクラ電器 CLEARSCREEN 4T KJ-55X7000,110000
P004,ゆきだるま食品 カップめん,200
P005,サファイア飲料 ゴールドビール,400
P006,ブルーウェーブ パワフル洗剤,800
P007,シンプルウェア ウォームインナーシャツ,1500
P008,ナチュラルスタイル オーガニックコットンシャツ,2500
P009,スカイライン文具 イレーサブルペン,100
P010,ワンダートイ ロボットフィギュア,3000
P011,アオゾラ電機 BRIGHTVIEW 43S32,70000
P012,サンシャイン製菓 ミルクチョコ,150
P013,フレッシュケア ソフティーナ,500
P014,ヤマトエアコン MSZ-GV3519,90000
P015,ハッピースイーツ チョコパイ,300
P016,ミライ電機 4Kスマートテレビ,80000
P017,フジヤマ電機 4Kプロジェクター,130000
P018,サクラ電器 加湿器 HX-50,15000
P019,スノーテック ワイヤレスヘッドホン WH-1000XM4,90000
P020,フジヤマ電機 掃除機 MC-CL883,75000
P021,アオゾラ電機 ノンフロン冷蔵庫,85000
P022,ミライ電機 ドラム式洗濯機,100000
P023,フジヤマ電機 エアコン CS-XE,95000
P024,スノーテック デジタルカメラ α7 III,200000
P025,プリズム光学 EOS R6,230000
P026,デジタルスカイ ノートパソコン FMV,80000
P027,テクノスフィア ValueBook,85000
P028,クリスタルビジョン OM-D E-M10,120000
P029,プリズム光学 PIXMA iX6820,25000
P030,プリントマスター エコタンク ET-2750,35000
P031,オフィスプロ IM C200,40000
P032,テクノセラミック DS-300,45000
P033,ゆきだるま食品 一杯きつねうどん,220
P034,クリアウォーター ゴールドプレミアム,500
P035,ヘルシー乳業 ヘルス1000,250
P036,ホームキッチン カレールウ,300
P037,まるまる食品 こだわり麺,250
P038,スマイル製菓 スティックチョコ,150
P039,ドリーム製菓 プレミアムチョコ,180
P040,クラシック食品 北国ラーメン,210
P041,フレッシュベジ トマトジュース,180
P042,ソフトケア やさしいケア,350
P043,クリーンライフ クリーンウォッシュ洗剤,800
P044,ビューティーラボ フローラルシャンプー,1200
P045,ヘルスケアプラス リリーフシップ,400
P046,ケアファーム クールケア,500
P047,コスメラボ ハンドクリーム,700
P048,ブルーウェーブ やさしいケア 洗濯柔軟剤,300
P049,シンプルウェア ジーンズ,3000
P050,ナチュラルスタイル ウールブレンドコート,5000
P051,シンプルウェア スウェットパーカー,2500
P052,ナチュラルスタイル リネンシャツ,2800
P053,シンプルウェア ストレッチジャケット,3500
P054,ベーシックウェア Tシャツ,1200
P055,ナチュラルスタイル シンプルワンピース,4000
P056,スカイライン文具 G2ジェルペン,150
P057,ダイヤモンド文具 プロペンシル,120
P058,オフィスワーク スタディノート,200
P059,カラーライン ハイライター,180
P060,グリーンペンシル クリア消しゴム,100
P061,ペンマスター スムースジェル,180
P062,スカイライン文具 イレーサブルペン,130
P063,ペンマスター シャープペンシル,160
P064,アート文具 ボールペン,150
P065,オフィスプラス カラーペンセット,250
P066,ワンダートイ トレインレール,2800
P067,ファンタジートイ デジペット,1200
P068,ファンタジートイ マスクヒーローフィギュア,3200
P069,ワンダートイ ミニカー,1500
P070,ファンタジートイ チェンジロボ,3500
P071,ファンタジートイ モンスターカード,500
P072,ファンタジートイ メカロボットフィギュア,4000
P073,ワンダートイ ヒーローフィギュア,3000
P074,ファンタジートイ ミニレーサー,2000
P075,スノーテック ワイヤレススピーカー SRS-XB12,8000
P076,フジヤマ電機 ポータブルスピーカー,6000
P077,サクラ電器 スマートウォッチ,18000
P078,ミライ電機 デジタルサイネージ,95000
P079,フジヤマ電機 電子レンジ,15000
P080,スノーテック ブルーレイプレーヤー,12000
P081,グローバルビジョン LED55PRO,180000
P082,アオゾラ電機 LEDテレビ 55型,70000
P083,フジヤマ電機 冷蔵庫 NR-F603M,90000
P084,サクラ電器 空気清浄機,22000
P085,ミライ電機 炊飯器 RZ-Mシリーズ,30000
P086,ヤマト IHクッキングヒーター,45000
P087,スノーテック ゲーム機 GAMESTATION5,50000
P088,ゲームワールド ポータブルゲーム,40000
P089,グローバルゲーム ゲームボックスX,55000
P090,フジヤマ電機 ビエラ ブルーレイレコーダー,35000
P091,サクラ電器 スマートフォン CLEARSCREEN R6,70000
P092,スノーテック デジタル一眼レフ α7R IV,250000
P093,プリズム光学 EOS 90D,150000
P094,レンズマスター X-T4,170000
P095,クリスタルビジョン PEN-F,140000
P096,ビジョンプロ Z6 II,200000
P097,プリズム光学 imagePROGRAF PRO-1000,300000
P098,プリントマスター スキャナー Perfection V39,25000
P099,オフィスプロ MP C4504,80000
P100,テクノセラミック TASKalfa 2552ci,250000
P101,スノーフレッシュ 有機サラダ菜パック,298
P102,スノーフレッシュ 有機人参3本パック,258
P103,スノーフレッシュ 有機じゃがいも2kgパック,498
P104,スノーフレッシュ 有機バナナ,398
P105,スノーフレッシュ 有機レモン3個パック,298
P106,スノーフレッシュ 有機ブルーベリー,598
P107,スノーフレッシュ 有機トマトジュース 500ml,298
P108,スノーフレッシュ 特選牛乳 1L,218
P109,スノーフレッシュ プレーンヨーグルト 400g,158
P110,スノーフレッシュ 平飼い卵 10個,298
P111,スノーフレッシュ 国産大豆絹ごし豆腐,98
P112,スノーフレッシュ 毎日食パン 6枚切,158
P113,スノーセレクト プレミアム和牛,1980
P114,スノーセレクト 熟成豚肉,698
P115,スノーセレクト 朝びき地鶏,598
P116,スノーセレクト 朝獲れ鮮魚,498
P117,スノーセレクト 高級刺身盛り合わせ,1280
P118,スノーセレクト シェフ特製惣菜,398
P119,スノーデリ 本格ビーフカレーキット,598
P120,スノーデリ パスタソース&麺セット,498
P121,スノーデリ 具材付き炊き込みご飯の素,598
P122,スノーデリ ハンバーグキット,598
P123,スノーデリ タイ風グリーンカレー,598
P124,スノーデリ スープセット,398
P125,スノーデリ 中華炒めセット,598
